ReviewText,predicted_sentiment,confidence_score
customer service was bad. would not recommend. average product.,Negative,0.9390862584114075
great value. best purchase ever.,Positive,0.9788482189178467
very disappointed. worst purchase.,Negative,0.9307680726051331
amazing features. very satisfied.,Positive,0.9818275570869446
worst purchase. bad experience.,Negative,0.9346755146980286
excellent quality. five stars.,Positive,0.9703913331031799
does not work. worst purchase. could be better.,Negative,0.940100908279419
met expectations. fantastic.,Positive,0.9735968708992004
works perfectly. works perfectly.,Positive,0.9313842058181763
worst purchase. poor quality. some pros and cons.,Negative,0.9413814544677734
broke easily. awful.,Negative,0.9311348795890808
met expectations. does not work.,Negative,0.8201099038124084
best purchase ever. amazing features.,Positive,0.9819367527961731
love this product. easy to use.,Positive,0.9854766726493835
broke easily. worst purchase. neither good nor bad.,Negative,0.9184930324554443
worst purchase. difficult to use. decent for the price.,Negative,0.9420093894004822
broke easily. difficult to use.,Negative,0.8690469861030579
best purchase ever. easy to use. could be better.,Positive,0.9784033298492432
works as expected. awful.,Negative,0.934282124042511
awful. terrible product.,Negative,0.9410691857337952
bad experience. worst purchase.,Negative,0.929233729839325
customer service was bad. broke easily.,Negative,0.9446099996566772
works perfectly. exceeded expectations.,Positive,0.9757896661758423
great value. five stars.,Positive,0.9703922271728516
highly recommend. great value.,Positive,0.9712140560150146
awful. customer service was bad.,Negative,0.946749746799469
terrible product. waste of money.,Negative,0.9460489153862
broke easily. worst purchase.,Negative,0.9323683977127075
fantastic. exceeded expectations.,Positive,0.9832431674003601
would not recommend. broke easily.,Negative,0.8950387835502625
excellent quality. amazing features. it's okay.,Positive,0.9713728427886963
waste of money. very disappointed.,Negative,0.9253210425376892
worst purchase. terrible product. works as expected.,Negative,0.9408340454101562
awful. does not work.,Negative,0.9419409036636353
highly recommend. great value. some pros and cons.,Positive,0.9550911784172058
some pros and cons. excellent quality.,Positive,0.7609164118766785
fantastic. amazing features.,Positive,0.9820507764816284
met expectations. great value.,Positive,0.9446657299995422
one star. bad experience.,Negative,0.9311834573745728
wonderful experience. works perfectly.,Positive,0.9860959649085999
very disappointed. awful.,Negative,0.929617166519165
amazing features. wonderful experience.,Positive,0.9823375940322876
broke easily. very disappointed. decent for the price.,Negative,0.8574991226196289
neither good nor bad. exceeded expectations.,Positive,0.8828275799751282
wonderful experience. wonderful experience. average product.,Positive,0.9821684956550598
excellent quality. five stars. works as expected.,Positive,0.9708396792411804
decent for the price. highly recommend.,Positive,0.9679401516914368
love this product. five stars. met expectations.,Positive,0.985842764377594
customer service was bad. bad experience.,Negative,0.9340804219245911
neither good nor bad. love this product.,Positive,0.9788739085197449
average product. wonderful experience.,Positive,0.9655566215515137
amazing features. easy to use.,Positive,0.9849564433097839
highly recommend. very satisfied. works as expected.,Positive,0.9805788397789001
bad experience. waste of money.,Negative,0.9304426908493042
amazing features. great value.,Positive,0.9792492985725403
poor quality. bad experience. it's okay.,Negative,0.9010525345802307
one star. broke easily.,Negative,0.6056828498840332
awful. broke easily.,Negative,0.9429267048835754
fantastic. five stars.,Positive,0.9817376732826233
easy to use. love this product.,Positive,0.9865432977676392
amazing features. five stars. met expectations.,Positive,0.9764302372932434
fantastic. exceeded expectations.,Positive,0.9832431674003601
poor quality. customer service was bad.,Negative,0.9384785294532776
some pros and cons. very satisfied.,Positive,0.9233598709106445
some pros and cons. very disappointed.,Negative,0.8861646056175232
fantastic. excellent quality.,Positive,0.9784523844718933
would not recommend. worst purchase.,Negative,0.916609525680542
poor quality. poor quality. it's okay.,Negative,0.86548912525177
met expectations. missing features.,Neutral,0.5098363161087036
awful. poor quality.,Negative,0.939721405506134
highly recommend. highly recommend.,Positive,0.9707698822021484
worst purchase. customer service was bad. met expectations.,Negative,0.9463703632354736
wonderful experience. works perfectly. neither good nor bad.,Positive,0.9851540923118591
great value. easy to use. average product.,Positive,0.9595726132392883
awful. missing features.,Negative,0.9259169697761536
wonderful experience. very satisfied. it's okay.,Positive,0.9877305626869202
best purchase ever. wonderful experience.,Positive,0.9816477298736572
highly recommend. five stars. it's okay.,Positive,0.973578929901123
decent for the price. highly recommend.,Positive,0.9679402709007263
worst purchase. does not work.,Negative,0.9400020241737366
excellent quality. fantastic.,Positive,0.9776294231414795
would not recommend. customer service was bad. average product.,Negative,0.93206787109375
very satisfied. five stars.,Positive,0.9748954772949219
broke easily. missing features.,Negative,0.6583263278007507
awful. one star. neither good nor bad.,Negative,0.9406274557113647
some pros and cons. highly recommend.,Positive,0.7422713041305542
met expectations. amazing features.,Positive,0.9787407517433167
decent for the price. awful.,Negative,0.9275961518287659
exceeded expectations. wonderful experience. average product.,Positive,0.9756463170051575
bad experience. terrible product. met expectations.,Negative,0.9307475686073303
love this product. works perfectly. nothing special.,Positive,0.9832526445388794
exceeded expectations. excellent quality.,Positive,0.9692071676254272
fantastic. exceeded expectations.,Positive,0.9832431674003601
wonderful experience. highly recommend.,Positive,0.9809659719467163
terrible product. difficult to use.,Negative,0.948040783405304
easy to use. best purchase ever.,Positive,0.9830233454704285
awful. awful.,Negative,0.9277080297470093
works as expected. customer service was bad.,Negative,0.9260373115539551
excellent quality. excellent quality.,Positive,0.9564444422721863
bad experience. missing features. some pros and cons.,Negative,0.9141112565994263
met expectations. very satisfied.,Positive,0.9624915719032288
some pros and cons. wonderful experience.,Positive,0.9532989263534546
some pros and cons. love this product.,Positive,0.9647884368896484
great value. works perfectly.,Positive,0.9721160531044006
does not work. one star. works as expected.,Negative,0.8501052856445312
waste of money. worst purchase.,Negative,0.9372063875198364
missing features. one star. decent for the price.,Neutral,0.559759259223938
easy to use. very satisfied.,Positive,0.9791396856307983
easy to use. exceeded expectations. decent for the price.,Positive,0.9509156346321106
works perfectly. highly recommend.,Positive,0.9802322387695312
nothing special. bad experience.,Negative,0.8442955017089844
best purchase ever. highly recommend.,Positive,0.9768902063369751
worst purchase. missing features.,Negative,0.9375503659248352
easy to use. fantastic.,Positive,0.9791560173034668
highly recommend. highly recommend. met expectations.,Positive,0.975531280040741
broke easily. bad experience.,Negative,0.9156015515327454
amazing features. best purchase ever. some pros and cons.,Positive,0.9828038215637207
love this product. best purchase ever. nothing special.,Positive,0.9840572476387024
difficult to use. worst purchase.,Negative,0.9443374276161194
average product. love this product.,Positive,0.9765499234199524
neither good nor bad. very disappointed.,Negative,0.8943614959716797
exceeded expectations. best purchase ever. some pros and cons.,Positive,0.9820656180381775
waste of money. poor quality.,Negative,0.9281527400016785
five stars. works perfectly.,Positive,0.937393307685852
would not recommend. does not work.,Negative,0.9097388386726379
difficult to use. would not recommend.,Negative,0.9252389669418335
five stars. exceeded expectations.,Positive,0.9671493768692017
worst purchase. does not work. average product.,Negative,0.9455211758613586
easy to use. highly recommend. nothing special.,Positive,0.9239479303359985
amazing features. easy to use.,Positive,0.9849564433097839
one star. awful.,Negative,0.9434309601783752
five stars. love this product.,Positive,0.982954204082489
excellent quality. fantastic.,Positive,0.9776294231414795
very disappointed. would not recommend.,Negative,0.9193925857543945
wonderful experience. excellent quality.,Positive,0.9799670577049255
broke easily. does not work.,Negative,0.8529420495033264
very disappointed. does not work.,Negative,0.9265879988670349
love this product. best purchase ever.,Positive,0.9851872324943542
best purchase ever. very satisfied. neither good nor bad.,Positive,0.9818383455276489
works perfectly. excellent quality. works as expected.,Positive,0.9684467315673828
missing features. poor quality. met expectations.,Negative,0.911981463432312
very disappointed. customer service was bad. works as expected.,Negative,0.932332456111908
decent for the price. great value.,Positive,0.931564211845398
would not recommend. bad experience.,Negative,0.91175377368927
excellent quality. wonderful experience. met expectations.,Positive,0.9825828075408936
easy to use. works perfectly.,Positive,0.9651274681091309
excellent quality. exceeded expectations.,Positive,0.9758032560348511
waste of money. missing features.,Negative,0.8866443037986755
nothing special. terrible product.,Negative,0.9169216156005859
highly recommend. highly recommend.,Positive,0.9707698822021484
bad experience. does not work.,Negative,0.9233028292655945
easy to use. excellent quality. decent for the price.,Positive,0.9524398446083069
great value. love this product.,Positive,0.9844522476196289
poor quality. waste of money.,Negative,0.9237561225891113
five stars. exceeded expectations.,Positive,0.9671493768692017
highly recommend. excellent quality.,Positive,0.9715030193328857
wonderful experience. very satisfied.,Positive,0.9839025139808655
awful. missing features.,Negative,0.9259169697761536
terrible product. worst purchase.,Negative,0.9346452951431274
easy to use. excellent quality.,Positive,0.9648915529251099
does not work. waste of money.,Negative,0.9186010956764221
missing features. difficult to use.,Negative,0.8960479497909546
fantastic. love this product.,Positive,0.9838608503341675
highly recommend. exceeded expectations.,Positive,0.9739646911621094
decent for the price. very disappointed.,Negative,0.9126358032226562
awful. awful.,Negative,0.9277080297470093
would not recommend. customer service was bad. some pros and cons.,Negative,0.9274930357933044
worst purchase. waste of money. could be better.,Negative,0.9425223469734192
one star. poor quality. it's okay.,Negative,0.8861125707626343
broke easily. customer service was bad.,Negative,0.9363270998001099
would not recommend. waste of money.,Negative,0.8992111086845398
neither good nor bad. one star.,Positive,0.7581073641777039
customer service was bad. waste of money.,Negative,0.9439635872840881
exceeded expectations. amazing features.,Positive,0.9824437499046326
great value. highly recommend.,Positive,0.9745389223098755
decent for the price. awful.,Negative,0.9275961518287659
neither good nor bad. missing features.,Negative,0.5305356383323669
fantastic. love this product.,Positive,0.9838608503341675
works as expected. best purchase ever.,Positive,0.9834976196289062
waste of money. customer service was bad.,Negative,0.9434789419174194
some pros and cons. very disappointed.,Negative,0.8861646056175232
one star. terrible product. some pros and cons.,Negative,0.9393894672393799
does not work. difficult to use.,Negative,0.9272664785385132
nothing special. awful.,Negative,0.8920213580131531
met expectations. waste of money.,Negative,0.8166400790214539
bad experience. would not recommend.,Negative,0.9199784994125366
fantastic. great value.,Positive,0.9789336919784546
excellent quality. works perfectly. works as expected.,Positive,0.9506286978721619
bad experience. one star.,Negative,0.9271318316459656
wonderful experience. highly recommend. it's okay.,Positive,0.9879214763641357
terrible product. broke easily.,Negative,0.9416812658309937
it's okay. would not recommend.,Negative,0.5153895020484924
decent for the price. wonderful experience.,Positive,0.9801969528198242
terrible product. customer service was bad.,Negative,0.9477148652076721
works perfectly. best purchase ever.,Positive,0.9823655486106873
great value. best purchase ever.,Positive,0.9788482189178467
easy to use. easy to use.,Positive,0.9020520448684692
customer service was bad. one star. some pros and cons.,Negative,0.9330058693885803
fantastic. five stars. met expectations.,Positive,0.984112560749054
fantastic. best purchase ever. met expectations.,Positive,0.9849578142166138
one star. missing features.,Negative,0.5725322365760803
some pros and cons. excellent quality.,Positive,0.7609171867370605
poor quality. awful.,Negative,0.9356381297111511
fantastic. amazing features.,Positive,0.9820507764816284
easy to use. best purchase ever. it's okay.,Positive,0.9820159673690796
some pros and cons. love this product.,Positive,0.9647884368896484
missing features. difficult to use.,Negative,0.8960479497909546
bad experience. poor quality.,Negative,0.9209859371185303
it's okay. very disappointed.,Negative,0.7884095311164856
poor quality. very disappointed.,Negative,0.9266284704208374
does not work. bad experience.,Negative,0.9274269342422485
works perfectly. works perfectly.,Positive,0.9313842058181763
highly recommend. highly recommend.,Positive,0.9707698822021484
amazing features. fantastic.,Positive,0.979459822177887
missing features. awful.,Negative,0.9104070663452148
very satisfied. easy to use.,Positive,0.981262743473053
does not work. waste of money.,Negative,0.9186010956764221
five stars. amazing features.,Positive,0.977318286895752
fantastic. excellent quality. nothing special.,Positive,0.9553345441818237
wonderful experience. works perfectly.,Positive,0.9860959649085999
neither good nor bad. great value.,Positive,0.8808146119117737
very satisfied. works perfectly.,Positive,0.981231153011322
love this product. wonderful experience.,Positive,0.9848904013633728
five stars. very satisfied.,Positive,0.9736080765724182
works as expected. missing features.,Neutral,0.5063558220863342
great value. works perfectly. some pros and cons.,Positive,0.9139788150787354
five stars. five stars.,Neutral,0.5434884428977966
awful. poor quality.,Negative,0.9397214651107788
five stars. fantastic. it's okay.,Positive,0.9738255143165588
amazing features. works perfectly.,Positive,0.9827297925949097
very disappointed. terrible product.,Negative,0.9316170811653137
nothing special. poor quality.,Negative,0.8770893812179565
one star. difficult to use. nothing special.,Negative,0.9022951126098633
works perfectly. highly recommend.,Positive,0.9802322387695312
great value. highly recommend.,Positive,0.9745389223098755
works perfectly. five stars.,Positive,0.9681842923164368
broke easily. broke easily.,Negative,0.7231613397598267
nothing special. works perfectly.,Positive,0.6387143731117249
could be better. worst purchase.,Negative,0.8620157241821289
does not work. missing features.,Negative,0.9010792374610901
fantastic. very satisfied. nothing special.,Positive,0.9792018532752991
awful. would not recommend.,Negative,0.9325792193412781
some pros and cons. highly recommend.,Positive,0.7422717213630676
easy to use. wonderful experience.,Positive,0.9838539958000183
excellent quality. great value.,Positive,0.9611948728561401
love this product. great value. some pros and cons.,Positive,0.980991780757904
fantastic. love this product. neither good nor bad.,Positive,0.9865951538085938
amazing features. works perfectly.,Positive,0.9827297925949097
highly recommend. amazing features.,Positive,0.9772198796272278
five stars. wonderful experience.,Positive,0.9834466576576233
exceeded expectations. easy to use.,Positive,0.8632807731628418
one star. very disappointed. could be better.,Negative,0.9332044124603271
it's okay. customer service was bad.,Negative,0.858540415763855
met expectations. terrible product.,Negative,0.9292020797729492
neither good nor bad. terrible product.,Negative,0.9218761920928955
missing features. missing features.,Negative,0.6809598207473755
difficult to use. difficult to use.,Negative,0.8242955207824707
wonderful experience. love this product.,Positive,0.9832773208618164
decent for the price. wonderful experience.,Positive,0.9801969528198242
one star. worst purchase.,Negative,0.9376009702682495
customer service was bad. bad experience.,Negative,0.9340804219245911
poor quality. would not recommend.,Negative,0.9235625863075256
fantastic. highly recommend.,Positive,0.978394091129303
easy to use. excellent quality.,Positive,0.9648915529251099
customer service was bad. poor quality. some pros and cons.,Negative,0.9370915293693542
very disappointed. broke easily.,Negative,0.9111156463623047
fantastic. excellent quality. works as expected.,Positive,0.982300877571106
decent for the price. missing features.,Neutral,0.5037243366241455
broke easily. poor quality.,Negative,0.9130734801292419
five stars. five stars.,Neutral,0.5434882044792175
some pros and cons. fantastic.,Positive,0.7968260049819946
nothing special. fantastic.,Neutral,0.46172547340393066
would not recommend. waste of money.,Negative,0.8992111086845398
worst purchase. one star.,Negative,0.9364019632339478
it's okay. great value.,Positive,0.9409598112106323
very disappointed. terrible product. it's okay.,Negative,0.9342090487480164
fantastic. exceeded expectations.,Positive,0.9832431674003601
very satisfied. exceeded expectations.,Positive,0.9786421060562134
broke easily. bad experience.,Negative,0.9156015515327454
one star. waste of money.,Negative,0.8808355331420898
wonderful experience. wonderful experience.,Positive,0.9860584139823914
highly recommend. great value. it's okay.,Positive,0.9780707955360413
easy to use. works perfectly.,Positive,0.9651274681091309
waste of money. customer service was bad.,Negative,0.9434789419174194
highly recommend. works perfectly. could be better.,Positive,0.9751906991004944
excellent quality. exceeded expectations. it's okay.,Positive,0.9708526730537415
met expectations. worst purchase.,Negative,0.9188191294670105
decent for the price. highly recommend.,Positive,0.9679402709007263
met expectations. one star.,Positive,0.5917626023292542
love this product. fantastic. met expectations.,Positive,0.9872087836265564
one star. one star.,Positive,0.5330091118812561
customer service was bad. awful.,Negative,0.944021463394165
average product. waste of money.,Negative,0.9263248443603516
nothing special. does not work.,Negative,0.8082473874092102
terrible product. terrible product.,Negative,0.9411554336547852
neither good nor bad. very satisfied.,Positive,0.9526671767234802
best purchase ever. best purchase ever.,Positive,0.9841879606246948
fantastic. works perfectly. some pros and cons.,Positive,0.957542359828949
could be better. easy to use.,Positive,0.746070146560669
decent for the price. waste of money.,Negative,0.8703656792640686
amazing features. love this product.,Positive,0.9846200942993164
would not recommend. customer service was bad. works as expected.,Negative,0.923891544342041
average product. works perfectly.,Positive,0.8833005428314209
neither good nor bad. one star.,Positive,0.7581073641777039
wonderful experience. fantastic. average product.,Positive,0.9803572297096252
decent for the price. terrible product.,Negative,0.938003659248352
does not work. waste of money.,Negative,0.9186010956764221
customer service was bad. worst purchase.,Negative,0.9435514211654663
excellent quality. five stars. decent for the price.,Positive,0.9663497805595398
fantastic. excellent quality.,Positive,0.9784523844718933
broke easily. missing features.,Negative,0.6583263278007507
poor quality. very disappointed.,Negative,0.9266284704208374
one star. missing features. some pros and cons.,Negative,0.6247228384017944
broke easily. poor quality.,Negative,0.9130734801292419
works perfectly. love this product.,Positive,0.9868533611297607
best purchase ever. easy to use.,Positive,0.9812871813774109
awful. difficult to use. neither good nor bad.,Negative,0.9493661522865295
love this product. fantastic.,Positive,0.9850625991821289
missing features. waste of money.,Negative,0.8696597218513489
met expectations. one star.,Positive,0.5917626023292542
poor quality. customer service was bad.,Negative,0.9384785294532776
poor quality. waste of money.,Negative,0.9237561225891113
broke easily. very disappointed.,Negative,0.9115734696388245
bad experience. poor quality.,Negative,0.9209859371185303
very satisfied. five stars. could be better.,Positive,0.9756395220756531
broke easily. does not work.,Negative,0.8529420495033264
waste of money. worst purchase. decent for the price.,Negative,0.9306407570838928
worst purchase. does not work.,Negative,0.9400020241737366
bad experience. broke easily.,Negative,0.9253214597702026
terrible product. would not recommend.,Negative,0.9326108694076538
waste of money. worst purchase.,Negative,0.9372063875198364
difficult to use. waste of money.,Negative,0.902033269405365
one star. broke easily.,Negative,0.6056828498840332
exceeded expectations. fantastic.,Positive,0.977837860584259
would not recommend. awful. some pros and cons.,Negative,0.9244905114173889
wonderful experience. five stars.,Positive,0.9821494221687317
missing features. difficult to use.,Negative,0.8960479497909546
five stars. very satisfied.,Positive,0.9736079573631287
some pros and cons. worst purchase.,Negative,0.8957503437995911
decent for the price. would not recommend.,Negative,0.7868829965591431
highly recommend. very satisfied. some pros and cons.,Positive,0.9730614423751831
would not recommend. would not recommend. could be better.,Negative,0.7973203063011169
bad experience. worst purchase.,Negative,0.929233729839325
wonderful experience. works perfectly. could be better.,Positive,0.9845371246337891
exceeded expectations. wonderful experience.,Positive,0.9851371049880981
highly recommend. works perfectly.,Positive,0.9728494882583618
decent for the price. works perfectly.,Positive,0.9247342348098755
one star. does not work.,Negative,0.8638407588005066
exceeded expectations. great value.,Positive,0.9684200882911682
would not recommend. customer service was bad.,Negative,0.9285644888877869
poor quality. very disappointed.,Negative,0.9266284704208374
highly recommend. great value.,Positive,0.9712139368057251
best purchase ever. five stars. neither good nor bad.,Positive,0.9784973859786987
works as expected. bad experience.,Negative,0.9140984416007996
awful. difficult to use.,Negative,0.9505633115768433
neither good nor bad. highly recommend.,Positive,0.9519398212432861
works perfectly. love this product.,Positive,0.9868533611297607
would not recommend. bad experience.,Negative,0.91175377368927
it's okay. wonderful experience.,Positive,0.9794917106628418
exceeded expectations. exceeded expectations.,Neutral,0.5695573687553406
very satisfied. excellent quality.,Positive,0.9774245023727417
broke easily. awful.,Negative,0.9311348795890808
neither good nor bad. difficult to use.,Negative,0.8363474011421204
would not recommend. difficult to use.,Negative,0.9146804213523865
does not work. difficult to use. some pros and cons.,Negative,0.9163256883621216
it's okay. fantastic.,Positive,0.9720935225486755
could be better. does not work.,Negative,0.8619657158851624
waste of money. awful. decent for the price.,Negative,0.9339215755462646
amazing features. five stars.,Positive,0.9765874743461609
easy to use. easy to use.,Positive,0.9020520448684692
works perfectly. very satisfied.,Positive,0.982891321182251
highly recommend. amazing features.,Positive,0.9772198796272278
waste of money. missing features. works as expected.,Negative,0.8876941204071045
